Scheme Name	Net Asset Value
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.1025
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7483
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	10.9880
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3787
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.2658
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6800
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.9212
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.1023
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.2658
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1498.4407
SBI BANKING & PSU FUND - Direct Plan - Growth	3401.8932
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1317.6788
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1495.1115
SBI BANKING & PSU FUND - Regular Paln - Growth	3196.2664
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1458.2246
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1232.5782
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1457.8773
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
